('0', 'ul. Warowna 3', '52.1961649', '20.9872982')
('102', 'ul. Jana Ciszewskiego 15', '52.1535379', '21.0413118')
('103', 'ul. Gorczewska 124', '52.24214875', '20.9304651146141')
('104', 'ul. Egipska 7', '52.2253721', '21.0680614')
('105', 'ul. Godebskiego 58', '52.1877788', '21.0668602')
('106', 'ul. Stawki 2', '52.2545389', '20.9966706642556')
('107', 'ul. Puszczy Solskiej 8', '52.2275911', '20.9079773')
('108', 'ul. Szeligowska 5', '52.21803455', '20.899069908231')
('109', 'ul. Szkolna 15', '52.693805', '16.3824632230911')
('110', 'ul. Bohaterow Warszawy 6', '52.1928648', '20.8935351438408')
('111', 'Aleja Jana Pawla II 82', '52.25723', '20.9845735131958')
('112', 'ul. Rozlogi 10', '52.2240139', '20.9003683')
('113', 'Aleja Jerzego Waszyngtona 26', '52.2391047', '21.0589446')
('114', 'ul. Marconich 3', '52.16993365', '21.0741407218299')
('115', 'ul. Zwyciezcow 46', '52.2334151', '21.0681456')
('116', 'ul. Powstancow slaskich 70', '52.2388371', '20.9143962')
('117', 'ul. Generala Waleriana Czumy 3B', '52.2368686', '20.911533')
('118', 'ul. Kazimierza Wyki 11 A', '52.2298706', '20.9032192')
('119', 'ul. Szamocka 8', '52.2577763', '20.9585636')
('120', 'ul. Stefana Szolc Rogozinskiego 4', '52.15031735', '21.0534545218738')
('121', 'ul. Jana Zamoyskiego 47a', '52.2478796', '21.0499878')
('122', 'ul. Targowa 73', '52.2541998', '21.0345264')
('123', 'ul. Sarmacka 5', '52.1655821', '21.0767405647449')
('124', 'ul. Ratuszowa 7/9', '52.25725835', '21.0287544153001')
('125', 'ul. Wladyslawa Broniewskiego 2', '52.2629894', '20.9782432')
('126', 'ul. Dereniowa 2', '52.1430797', '21.0458574')
('127', 'ul. Wroclawska 18', '52.25124175', '20.9244905540702')
('128', 'ul. Aleksandra swietochowskiego 2', '52.2355508', '20.8992489')
('129', 'ul. Ostrzycka 2/4', '52.2341517', '21.0783357')
('130', 'Plac Inwalidow 4/6/8', '52.2648291', '20.991581')
('131', 'ul. Franciszka Marii Lanciego 13', '52.1459272', '21.0558735')
('132', 'ul. Franciszka Klimczaka 1', '52.1639073', '21.0828267')
('133', 'ul. Przasnyska 14 A', '52.2581468', '20.9707873')
('134', 'ul. Zabkowska 50', '52.2548127', '21.0478273')
('135', 'ul. Konopacka 3/5', '52.25842925', '21.03956705')
('136', 'Plac Generala Jozefa Hallera 10', '52.26068165', '21.0306903228544')
('137', 'ul. Raszynska 34', '52.2168752', '20.9883071')
('138', 'Aleja Stanow Zjednoczonych 51', '52.2372593', '21.0789572')
('139', 'ul. Generala Romana Abrahama 12', '52.2278514', '21.088549')
('140', 'Aleja Tysiaclecia 151', '52.2542308', '21.0528516')
('141', 'ul. Bialostocka 9', '52.2578156', '21.0469624')
('142', 'ul. Miedzyborska 48', '52.2366768', '21.0831526385588')
('143', 'ul. Filarecka 3', '52.2687652', '20.9825624')
('144', 'ul. 11 Listopada 42', '52.24454', '21.28223')
('145', 'ul. Belgradzka 42', '52.1404209', '21.0561614722815')
('146', 'ul. Stanislawa Wojciechowskiego 37', '52.1947394', '20.8715025')
('147', 'ul. Samolotowa 4', '52.2229052', '21.0996221')
('148', 'ul. Majdanska 13', '52.2407609', '21.0844649')
('149', 'ul. Pulawska 424', '52.1275928', '21.0177438')
('150', 'ul. Grochowska 246', '52.2457935', '21.0801493')
('151', 'ul. Wladyslawa Broniewskiego 59 A', '52.2625251', '20.9792541')
('152', 'ul. Powstancow slaskich 126', '52.2645112', '20.9304949')
('153', 'ul. Jagiellonska 59', '52.27204135', '21.0141913269533')
('154', 'ul. Piastow slaskich 29', '52.2634952', '20.9250365')
('155', 'ul. Marii Kazimiery 1', '52.2742345', '20.9796116')
('156', 'ul. Warszawska 58C', '52.1955291', '20.8629946')
('157', 'ul. Wlodzimierza Perzynskiego 3', '52.2711388', '20.9500245')
('158', 'ul. Kobielska 17', '52.2464307', '21.0867784')
('159', 'ul. Generala Witolda Urbanowicza 15', '52.2517327', '20.8963748')
('160', 'ul. Stefana zeromskiego 1', '52.275127', '20.9619775')
('161', 'ul. Zgrupowania AK "zmija" 19a', '52.269504', '20.9362955')
('162', 'ul. Szkoly Orlat 4', '52.2286331', '21.1065722')
('163', 'ul. Gustawa Danilowskiego 3', '52.2740833', '20.9448488')
('164', 'ul. Ekologiczna 14', '52.12987695', '21.0592779246729')
('165', 'ul. swietego Wincentego 44 A', '52.2687248', '21.038028')
('166', 'ul. Stefana zeromskiego 29', '52.2762314', '20.9478341')
('167', 'ul. Radzyminska 105', '52.26767245', '21.0589212676455')
('168', 'Aleja Wladyslawa Reymonta 12', '52.2744771', '20.9377515')
('169', 'ul. Stefana Dembego 21', '52.13388225', '21.0717657727575')
('170', 'Plac Piotra Szembeka 1', '52.2428141', '21.1015319')
('171', 'ul. Gwiazdzista 27', '52.2834515', '20.9780001')
('172', 'ul. lukowska 2a', '52.2368815', '21.1122862')
('173', 'Aleja Zjednoczenia 19', '52.2808153', '20.9494141')
('174', 'ul. Jerzego Zaruby 9', '52.1294246', '21.0725354')
('175', 'ul. Josepha Conrada 15', '52.275958', '20.9213234')
('176', 'ul. Grochowska 23/31', '52.23810595', '21.1160389523604')
('177', 'ul. 11 Listopada 3', '52.32430425', '20.9218147420638')
('178', 'ul. Dworcowa 1', '52.20410585', '21.1714444683654')
('179', 'Aleja Wojska Polskiego 14', '52.2627297', '20.9799487')
('180', 'ul. Jagiellonska 88', '52.2885351', '21.0061601715745')
('181', 'ul. Carla Goldoniego 1', '52.2847176', '20.9356006')
('182', 'ul. Rembielinska 20', '52.2900258', '21.0300729')
('183', 'ul. Chodecka 4', '52.2875835', '21.041086')
('184', 'ul. Bazylianska 1', '52.2921102', '21.0197376')
('185', 'ul. Michala Kleofasa Oginskiego 18', '52.2835465', '21.0278106479042')
('186', 'ul. Wrzeciono 48', '52.2916826', '20.9449774')
('187', 'ul. Lucerny 77', '52.2143166', '21.147008')
('188', 'ul. labiszynska 10', '52.2937121', '21.0331538')
('189', 'ul. Blokowa 36a', '52.28678555', '21.0633062441271')
('190', 'ul. Widoczna 103', '52.2258738', '21.145067')
('191', 'ul. Ludwika Kondratowicza 20', '52.2911758', '21.049200133138')
('192', 'ul. Chelmzynska 27/35', '52.245952', '21.1329846025126')
('193', 'ul. Radzyminska 234/236', '52.2612177', '21.0541006')
('194', 'ul. Wrzeciono 41', '52.2961317', '20.9404721')
('195', 'ul. Topolowa 2', '52.2294395', '21.2411904')
('196', 'ul. Rynek 11', '52.6049957', '21.5451337')
('197', 'ul. lojewska 11', '52.2960608', '21.0435715')
('198', 'ul. Trakt Lubelski 1/3', '52.173693', '21.1538401')
('199', 'ul. swietego Wincentego 99/3', '52.2687248', '21.038028')
('200', 'ul. Poznanska 129/133', '52.2262128', '21.0113272')
('201', 'ul. Korkowa 119/123', '52.2385545', '21.1470393893383')
('202', 'ul. Rubinowa 55 A', '52.2200581', '21.2241655')
('203', 'ul. Julianowska 90F', '52.2847219', '21.0301278')
('204', 'ul. Jana Kowalczyka 3', '52.3050192', '20.9891452')
('205', 'ul. Zwolenska 127', '52.2041301', '21.1632134')
('206', 'ul. Heroldow 19 B', '52.3055794', '20.9326785')
('207', 'ul. Zalipie 17', '52.2206878', '21.167103')
('208', 'ul. Gminna 60', '52.1359371', '21.0473509')
('209', 'ul. Lesna 42', '52.6508599', '21.459699')
('210', 'ul. Narodowa 23', '52.2153055', '21.1038378')
('211', 'ul. zeganska 22 C', '52.2058216', '21.1734273')
('212', 'ul. Powstancow 26', '52.2293853', '20.9156087758558')
('213', 'ul. Nagodzicow 2', '52.3139683', '20.9645604')
('214', 'ul. Tadeusza Kosciuszki 30', '52.1953103', '20.8854175408835')
('215', 'ul. Kolejowa 6', '52.2247559', '20.978692071017')
('216', 'ul. Albatrosow 16A/22', '52.1485271', '21.0189948')
('217', 'ul. Krotka 2', '52.1710001', '20.9276113')
('218', 'ul. Atutowa 11', '52.3168069', '20.9545636')
('219', 'ul. Olowkowa 1D', '52.3453881', '20.9823258')
('220', 'ul. Ciechanowska 29B', '52.3552223', '20.9360331')
('221', 'ul. Orla 8', '52.2498997', '21.2538546971217')
('222', 'ul. Warszawska 64', '52.19377755', '20.8595368860175')
('223', 'ul. Panny Wodnej 46/48', '52.183888', '21.1868036')
('224', 'ul. Fryderyka Chopina 64', '52.2516657', '21.2223044')
('225', 'ul. Szkolna 16', '52.69357325', '16.3821983021384')
('226', 'ul. Gabriela Narutowicza 47', '52.2446859', '21.2114617')
('227', 'ul. Mieczyslawa Niedzialkowskiego 25', '52.2530527', '21.1688569')
('228', 'ul. Warszawska 21', '52.2444426', '21.1804936')
('229', 'ul. Ceramiczna 9', '52.3214969', '20.9633054')
('230', 'ul. Mysliborska 102', '52.321152', '20.9547044')
('231', 'ul. Ostrodzka 119', '52.3176899', '21.0502895')
('232', 'ul. Goscinna 2', '52.314966', '21.066588')
('233', 'ul. Tadeusza Kosciuszki 5', '52.1965307', '20.889534')
('234', 'ul. Radlowska 9', '52.1850857', '21.1935995006689')
('235', 'ul. Graniczna 22', '52.2389382', '21.0029559')
('236', 'ul. Kazimierza Pulaskiego 20F', '52.3232164', '20.98203')
('237', 'Aleja Katowicka 62', '52.0636613', '20.7412523')
('238', 'ul. Tadeusza Kosciuszki 43', '52.3216379', '21.0857195')
('239', 'ul. Czerwonych Beretow 10', '52.2604472', '21.177959')
('240', 'ul. Adama Ciolkosza 4', '52.3266937', '20.9387258')
('241', 'ul. Brata Alberta 2b', '52.2465086', '21.1889716')
('242', 'ul. Leona Berensona 12 lok. U16', '52.3246245', '21.0547602')
('243', 'ul. Lewandow 43A', '52.32248625', '21.075660679525')
('244', 'ul. Paslecka 8D', '52.3325186', '20.9492269')
('245', 'ul. Wilanowska 1', '52.2436434', '21.1792671')
('246', 'ul. Ciupagi 2B', '52.3351998', '21.0095375')
('247', 'ul. Odkryta 44 C', '52.3250518', '20.9375221')
('248', 'ul. Kwiatowa 12', '52.20299365', '21.0123928408179')
('249', 'ul. Orzechowa 16a', '52.15947', '20.93493')
('250', 'ul. Mloda 19', '52.1605322', '21.2112248866256')
('251', 'ul. Bystrzycka 55', '52.1619632', '21.2136254')
('252', 'ul. Glowna 12', '52.35251115', '20.9404142')
('253', 'ul. Trakt Brzeski 35', '52.2239', '21.2255')
('254', 'Aleja Marszalka Jozefa Pilsudskiego 95', '52.2759283', '21.1163819')
('255', 'ul. Mazurska 1', '52.3400824', '20.99744515')
('256', 'ul. Przylesie 3', '52.345696', '20.9536367')
('257', 'ul. Jagiellonska 11', '52.2509887', '21.0356766')
('258', 'ul. Okolna 2', '51.1723632', '18.4013117791667')
('259', 'ul. Jana Pawla II 21', '52.2164723', '21.236891621311')
('260', 'ul. 1 Praskiego Pulku WP 9', '52.2523291', '21.2240904')
('261', 'ul. Modlinska 351', '52.35123', '20.9444889')
('262', 'Aleja Marszalka Jozefa Pilsudskiego 119', '52.2759283', '21.1163819')
('263', 'ul. Mszczonowska 24', '52.2192461', '20.9469116')
('264', 'ul. Plochocinska 162', '52.35436245', '21.0288714')
('265', 'ul. Warszawska 258', '52.1986501', '20.8721295')
('266', 'ul. Klosowa 6', '52.3574315', '20.97492305')
('267', 'ul. Wiejska 1', '52.22457285', '21.0272156476982')
('268', 'ul. swiderska 1', '52.3133351', '20.9571206')
('269', 'Aleja Marszalka Jozefa Pilsudskiego 139', '52.2759283', '21.1163819')
('270', 'ul. Poludniowa 13', '52.1870654', '21.1550782348512')
('271', 'Aleja Krakowska 67C', '52.174313', '20.9430859')
('272', 'ul. Warszawska 402', '52.1986501', '20.8721295')
('273', 'ul. lakowa 7', '52.2458091', '21.134801')
('274', 'ul. Rejonowa 44A', '52.209035', '20.9172903')
('275', 'ul. Jasna 3', '52.2533345', '21.2202021')
('276', 'ul. Slowicza 2 A', '52.1897801', '20.963187')
('277', 'ul. Modlinska 102', '52.3507371', '20.9454139')
('278', 'ul. Legionowa 1', '52.21923205', '20.9088491121951')
('279', 'ul. Pocztowa 4', '52.3466982', '20.9975882')
('280', 'ul. Wawerska 22A', '52.2257969', '21.2073188')
('281', 'ul. Lubelska 45', '52.2474116', '21.0520811')
('282', 'ul. Graniczna 2', '52.2382506', '21.0039276769231')
('283', 'ul. 3 Maja 5', '52.2339989', '21.0333431494469')
('284', 'ul. Armii Krajowej 1', '52.2510308', '21.2153931')
('285', 'ul. Reczajska 11D', '52.31478', '21.4075')
('286', 'ul. Lecha 1', '52.2835604', '21.0602555')
('287', 'ul. Mazowiecka 5 A', '52.2241994', '21.2470937')
('288', 'ul. Karczewska 47', '52.2415785', '21.0947803')
('289', 'ul. Koscielna 57', '52.2540248', '21.0091437')
('290', 'ul. Dworcowa 1', '52.20410585', '21.1714444683654')
('291', 'ul. Marszalka Jozefa Pilsudskiego 41', '52.2759283', '21.1163819')
('292', 'ul. Ogrodowa 2', '52.2865345', '21.0976705709091')
('293', 'ul. Jagiellonska 16', '52.2506417', '21.036639')
('294', 'ul. Zegrzynska 17', '52.1847308', '21.1738766')
('295', 'ul. Rynek 10', '52.6049957', '21.5451337')
('296', 'Aleja Sadowa 32', '52.1046608', '21.104365024881')
('297', 'ul. Marszalka Jozefa Pilsudskiego 30', '52.2759283', '21.1163819')
('298', 'ul. Tadeusza Kosciuszki 24a', '52.1968057', '20.8900692')
('299', 'ul. Ogrodowa 3', '52.2401009', '20.9936061')
('300', 'ul. 1 Maja 29', '52.245247', '21.216075')
('301', 'ul. Gabriela Narutowicza 122', '52.2446859', '21.2114617')
('302', 'ul. Tadeusza Kosciuszki 106', '52.1968057', '20.8900692')
('303', 'ul. Radzyminska 16B', '52.2612177', '21.0541006')
('304', 'ul. Leonida Teligi 1', '52.1533042', '21.04792985')
('305', 'ul. Chlodna 1 A', '52.2378923', '20.9920823')
('306', 'ul. Jana Pawla II 30', '52.21811815', '21.22215085')
('307', 'Aleja Niepodleglosci 17', '52.1817142', '21.0183514259382')
('308', 'ul. Grzybowa 6', '52.2520949', '21.1688091411525')
('309', 'Aleja Jana Pawla II 168', '52.2377795', '20.9962465')
('310', 'ul. Elizy Orzeszkowej 2A', '52.2132501', '20.9705964')
('311', 'ul. Targowa 3 A', '52.2482347', '21.0467781')
('312', 'ul. Rynek 15', '52.6049957', '21.5451337')
('313', 'ul. 1 Maja 2', '52.245762', '21.2156655123338')
('314', 'ul. Henryka Sienkiewicza 45', '52.2339997', '21.0110655')
('315', 'ul. Graniczna 20', '52.217479', '21.21813695')
('316', 'ul. Modlinska 1', '52.2906902', '21.0018823784632')
('317', 'ul. Strazacka 10', '52.2586231', '21.1609834')
('318', 'ul. Glowna 18', '52.3529405', '20.94172705')
('319', 'ul. Weteranow 31', '52.3259001', '20.9789162')
('320', 'ul. 1 Maja 2', '52.245762', '21.2156655123338')
('321', 'ul. Blonska 20', '52.2573939', '20.9821843')
('322', 'ul. Warszawska 13', '52.244484', '21.1794263')
('323', 'ul. Generala Leopolda Okulickiego 1', '52.22948885', '21.0966292')
('324', 'ul. Koscielna 78', '52.2540248', '21.0091437')
('325', 'ul. Modlinska 2', '52.3231582', '20.9707789')
('326', 'ul. Warszawska 4', '52.24416485', '21.1795513765848')
('327', 'ul. Kolejowa 133', '52.2263205', '20.983973')
('328', 'ul. Dworcowa 2', '52.2051286', '21.1718508')
('329', 'ul. Jakuba Kubickiego 3', '52.17124985', '21.072897854133')
